,code_insee,nom_standard,nom_sans_pronom,nom_a,nom_de,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,academie_code,academie_nom,code_postal,codes_postaux,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,nom_unite_urbaine,taille_unite_urbaine,type_commune_unite_urbaine,statut_commune_unite_urbaine,population,superficie_hectare,superficie_km2,densite,altitude_moyenne,altitude_minimale,altitude_maximale,latitude_mairie,longitude_mairie,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,niveau_equipements_services,niveau_equipements_services_texte,gentile,url_wikipedia,url_villedereve
0,01001,L'Abergement-Clémenciat,Abergement-Clémenciat,à Abergement-Clémenciat,de l'Abergement-Clémenciat,l-abergement-clemenciat,L'ABERGEMENT-CLÉMENCIAT,COM,commune,84,Auvergne-Rhône-Alpes,01,Ain,0108,Châtillon-sur-Chalaronne,200069193,CC de la Dombes,10,Lyon,01400,01400,08405,01053,01000,,0.0,HORS UNITE URBAINE,H,832,1565,16,53.0,242,206.0,272.0,46.151,4.921,46.153,4.926,6,Rural à habitat dispersé,0.0,communes non pôle,,https://fr.wikipedia.org/wiki/fr:L'Abergement-Clémenciat,https://villedereve.fr/ville/01001-l-abergement-clemenciat
12835,34008,Les Aires,Aires,aux Aires,des Aires,les-aires,LES AIRES,COM,commune,76,Occitanie,34,Hérault,3406,Clermont-l'Hérault,200042646,CC Grand Orb communauté de communes en Languedoc,11,Montpellier,34600,34600,07606,34032,34304,Bédarieux,3.0,UNITE URBAINE,B,608,2049,20,30.0,334,149.0,640.0,43.582,3.104,43.57,3.071,5,Bourgs ruraux,0.0,communes non pôle,Airois,https://fr.wikipedia.org/wiki/fr:Les Aires,https://villedereve.fr/ville/34008-les-aires
22806,60387,Marseille-en-Beauvaisis,Marseille-en-Beauvaisis,à Marseille-en-Beauvaisis,de Marseille-en-Beauvaisis,marseille-en-beauvaisis,MARSEILLE-EN-BEAUVAISIS,COM,commune,32,Hauts-de-France,60,Oise,6011,Grandvilliers,246000848,CC de la Picardie Verte,20,Amiens,60690,60690,00054,60057,60000,,0.0,HORS UNITE URBAINE,H,1443,816,8,177.0,152,105.0,187.0,49.576,1.955,49.575,1.958,5,Bourgs ruraux,1.0,centres locaux d'équipements et de services,Marseillois,https://fr.wikipedia.org/wiki/fr:Marseille-en-Beauvaisis,https://villedereve.fr/ville/60387-marseille-en-beauvaisis
22807,60388,Martincourt,Martincourt,à Martincourt,de Martincourt,martincourt,MARTINCOURT,COM,commune,32,Hauts-de-France,60,Oise,6011,Grandvilliers,246000848,CC de la Picardie Verte,20,Amiens,60112,60112,00054,60057,60000,,0.0,HORS UNITE URBAINE,H,135,515,5,26.0,144,95.0,176.0,49.523,1.898,49.53,1.904,6,Rural à habitat dispersé,0.0,communes non pôle,,https://fr.wikipedia.org/wiki/fr:Martincourt (Oise),https://villedereve.fr/ville/60388-martincourt
25324,64488,Saint-Laurent-Bretagne,Saint-Laurent-Bretagne,à Saint-Laurent-Bretagne,de Saint-Laurent-Bretagne,saint-laurent-bretagne,SAINT-LAURENT-BRETAGNE,COM,commune,75,Nouvelle-Aquitaine,64,Pyrénées-Atlantiques,6423,Pays de Morlaàs et du Montanérès,200067296,CC du Nord Est Béarn,4,Bordeaux,64160,64160,07522,64445,64000,,0.0,HORS UNITE URBAINE,H,445,1071,11,42.0,306,249.0,346.0,43.384,-0.198,43.383,-0.205,6,Rural à habitat dispersé,0.0,communes non pôle,,https://fr.wikipedia.org/wiki/fr:Saint-Laurent-Bretagne,https://villedereve.fr/ville/64488-saint-laurent-bretagne
10901,30007,Alès,Alès,à Alès,d'Alès,ales,ALÈS,COM,commune,76,Occitanie,30,Gard,3098,Alès,200066918,CA Alès Agglomération,11,Montpellier,30100,"30100, 30103, 30115, 30319, 30109, 30104, 30107, 30101, 30318, 30102, 30311, 30106, 30105",07603,30007,30501,Alès,5.0,UNITE URBAINE,C,43892,2327,23,1886.0,154,116.0,356.0,44.125,4.077,44.125,4.088,2,Centres urbains intermédiaires,3.0,centres structurants d'équipements et de services,Alésiens,https://fr.wikipedia.org/wiki/fr:Alès,https://villedereve.fr/ville/30007-ales
26969,69001,Affoux,Affoux,à Affoux,d'Affoux,affoux,AFFOUX,COM,commune,84,Auvergne-Rhône-Alpes,69,Rhône,6910,Tarare,200040566,CA de l'Ouest Rhodanien,10,Lyon,69170,69170,08430,69243,69000,,0.0,HORS UNITE URBAINE,H,395,1068,11,37.0,750,498.0,960.0,45.845,4.404,45.844,4.414,6,Rural à habitat dispersé,0.0,communes non pôle,Affousiens,https://fr.wikipedia.org/wiki/fr:Affoux,https://villedereve.fr/ville/69001-affoux
26970,69002,Aigueperse,Aigueperse,à Aigueperse,d'Aigueperse,aigueperse,AIGUEPERSE,COM,commune,84,Auvergne-Rhône-Alpes,69,Rhône,6911,Thizy-les-Bourgs,200067817,CC Saône-Beaujolais,10,Lyon,69790,69790,08434,69264,69000,,0.0,HORS UNITE URBAINE,H,243,1290,13,19.0,489,403.0,610.0,46.277,4.435,46.28,4.423,7,Rural à habitat très dispersé,0.0,communes non pôle,Aiguepersirons,https://fr.wikipedia.org/wiki/fr:Aigueperse (Rhône),https://villedereve.fr/ville/69002-aigueperse
31747,81001,Aguts,Aguts,à Aguts,d'Aguts,aguts,AGUTS,COM,commune,76,Occitanie,81,Tarn,8115,Lavaur Cocagne,248100158,CC du Sor et de l'Agout,16,Toulouse,81470,81470,07610,81065,81000,,0.0,HORS UNITE URBAINE,H,236,984,10,24.0,242,182.0,320.0,43.53,1.918,43.532,1.924,7,Rural à habitat très dispersé,0.0,communes non pôle,Agussiens,https://fr.wikipedia.org/wiki/fr:Aguts,https://villedereve.fr/ville/81001-aguts
31747,81001,Aguts,Aguts,à Aguts,d'Aguts,aguts,AGUTS,COM,commune,76,Occitanie,81,Tarn,8115,Lavaur Cocagne,248100158,CC du Sor et de l'Agout,16,Toulouse,81470,81470,07610,81065,81000,,0.0,HORS UNITE URBAINE,H,236,984,10,24.0,242,182.0,320.0,43.53,1.918,43.532,1.924,7,Rural à habitat très dispersé,0.0,communes non pôle,Agussiens,https://fr.wikipedia.org/wiki/fr:Aguts,https://villedereve.fr/ville/81001-aguts
